"year_month","buildings","revenue","three11","transportation","law","aviation","ethics","environment","police","fire","oemc","health","compliance","procurement","mayor","water","streets","admin.hearing","human.resources","budget","doit","fleet","human.relations","special.events","clerk","cultural.x","comm.dev","planning","animal","police.board","business.affairs","ipra","family","license.commission","disability","chicago.library","cultural.y","treasurer","zoning","graphics","fleet.facilities"
2013-09-01,884,NA,27,47,10,11,3,NA,480,711,154,7,NA,27,9,39,201,114,12,NA,4,NA,1,NA,11,NA,NA,66,97,1,112,11,NA,NA,NA,1,1,NA,NA,NA,7
2014-09-01,847,NA,26,88,24,18,NA,NA,NA,729,107,NA,NA,9,12,44,156,458,19,4,5,NA,NA,NA,17,NA,NA,76,62,7,86,35,2,1,NA,3,3,NA,NA,NA,7
2017-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-10-01,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-10-01,1724,20,21,84,9,16,8,124,340,85,115,36,3,20,8,18,127,69,18,4,NA,1,2,NA,18,NA,15,NA,NA,3,60,4,6,NA,NA,NA,NA,2,63,1,NA
2011-10-01,851,7,12,34,7,12,5,NA,396,555,114,62,NA,14,6,15,149,67,10,2,NA,NA,3,NA,3,NA,NA,NA,36,7,100,11,NA,NA,NA,1,1,2,NA,NA,NA
2012-10-01,2332,NA,26,67,8,7,3,NA,460,618,128,230,NA,19,11,37,216,96,14,NA,5,NA,2,NA,6,NA,NA,67,159,7,102,20,14,2,NA,2,2,NA,NA,NA,7
2013-10-01,764,NA,29,40,16,13,6,NA,446,648,147,21,NA,15,3,28,228,115,18,NA,2,NA,NA,NA,9,NA,NA,49,52,3,97,15,NA,NA,NA,5,1,NA,NA,NA,7
2014-10-01,778,NA,29,105,15,7,7,NA,NA,819,121,NA,NA,9,14,48,164,429,11,5,5,NA,NA,NA,29,NA,NA,63,76,3,96,37,6,NA,NA,1,7,3,NA,NA,5
2001-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-11-01,1695,27,15,80,6,13,24,135,391,97,91,40,2,23,3,32,121,48,18,4,3,NA,1,1,105,2,23,NA,NA,4,74,5,NA,NA,NA,NA,NA,2,53,NA,NA
2011-11-01,683,10,20,56,15,9,NA,NA,386,576,99,40,NA,33,5,16,141,55,10,7,2,NA,4,NA,8,NA,NA,NA,35,9,97,10,2,NA,NA,2,1,NA,NA,NA,NA
2012-11-01,802,NA,20,44,10,10,3,NA,338,578,84,161,NA,20,7,38,165,83,12,NA,4,NA,1,NA,7,NA,NA,63,174,2,64,8,4,NA,NA,2,1,NA,NA,NA,10
2013-11-01,573,NA,19,42,9,10,NA,NA,413,668,118,7,NA,17,6,23,135,96,6,NA,5,NA,NA,NA,14,NA,NA,43,59,7,93,9,NA,NA,NA,NA,3,1,NA,NA,9
2014-11-01,661,NA,21,71,25,4,5,NA,NA,667,107,NA,NA,4,14,30,106,782,8,5,7,NA,NA,NA,40,NA,NA,57,58,6,67,33,4,1,NA,5,6,2,NA,NA,10
2015-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-12-01,1438,18,17,80,8,14,27,109,350,68,105,34,6,15,2,15,98,68,9,7,1,7,2,1,16,NA,7,NA,NA,1,59,12,2,NA,NA,1,NA,NA,13,NA,NA
2011-12-01,534,12,13,28,8,7,2,NA,335,587,97,44,NA,19,2,19,139,57,16,1,3,NA,1,NA,16,NA,NA,NA,38,3,73,10,2,1,NA,1,1,1,NA,NA,NA
2012-12-01,731,NA,15,46,10,5,1,NA,430,614,79,8,NA,22,5,20,147,94,12,NA,3,NA,1,NA,13,NA,NA,60,162,5,63,12,6,NA,NA,NA,NA,2,NA,NA,10
2013-12-01,516,NA,6,34,10,9,6,NA,235,704,72,10,NA,27,3,13,152,87,8,NA,NA,NA,NA,NA,7,NA,NA,37,64,2,81,5,2,NA,NA,NA,1,1,NA,NA,10
2014-12-01,625,NA,29,85,15,NA,8,NA,NA,724,105,1,NA,10,12,34,91,438,18,1,8,NA,1,NA,7,NA,NA,39,58,1,121,40,6,2,NA,2,11,NA,NA,NA,3
2041-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
